"YEAR","START_DATE","END_DATE","AGE_GROUP","FINES","ARRESTS","CHARGES"
2023,"2023-01-01","2023-01-31","0-16",1,0,0
2023,"2023-01-01","2023-01-31","17-25",3,0,0
2023,"2023-01-01","2023-01-31","17-25",6,0,0
2023,"2023-01-01","2023-01-31","17-25",7,0,0
2023,"2023-01-01","2023-01-31","17-25",8,0,0
2023,"2023-01-01","2023-01-31","17-25",27,0,0
2023,"2023-01-01","2023-01-31","17-25",47,0,0
2023,"2023-01-01","2023-01-31","17-25",55,0,0
2023,"2023-01-01","2023-01-31","17-25",72,0,0
2023,"2023-01-01","2023-01-31","17-25",106,0,0
2023,"2023-01-01","2023-01-31","17-25",270,0,5
2023,"2023-01-01","2023-01-31","17-25",298,0,0
2023,"2023-01-01","2023-01-31","26-39",1,0,0
2023,"2023-01-01","2023-01-31","26-39",2,0,0
2023,"2023-01-01","2023-01-31","26-39",7,0,0
2023,"2023-01-01","2023-01-31","26-39",8,0,0
2023,"2023-01-01","2023-01-31","26-39",8,0,0
2023,"2023-01-01","2023-01-31","26-39",11,0,0
2023,"2023-01-01","2023-01-31","26-39",54,0,1
2023,"2023-01-01","2023-01-31","26-39",55,0,0
2023,"2023-01-01","2023-01-31","26-39",63,0,4
2023,"2023-01-01","2023-01-31","26-39",178,0,0
2023,"2023-01-01","2023-01-31","26-39",182,0,0
2023,"2023-01-01","2023-01-31","26-39",335,0,6
2023,"2023-01-01","2023-01-31","26-39",654,0,0
2023,"2023-01-01","2023-01-31","40-64",1,0,0
2023,"2023-01-01","2023-01-31","40-64",1,0,0
2023,"2023-01-01","2023-01-31","40-64",8,0,0
2023,"2023-01-01","2023-01-31","40-64",9,0,0
2023,"2023-01-01","2023-01-31","40-64",9,0,0
2023,"2023-01-01","2023-01-31","40-64",12,0,0
2023,"2023-01-01","2023-01-31","40-64",28,0,1
2023,"2023-01-01","2023-01-31","40-64",41,0,0
2023,"2023-01-01","2023-01-31","40-64",43,0,1
2023,"2023-01-01","2023-01-31","40-64",117,0,0
2023,"2023-01-01","2023-01-31","40-64",123,0,0
2023,"2023-01-01","2023-01-31","40-64",200,0,4
2023,"2023-01-01","2023-01-31","40-64",406,0,0
2023,"2023-01-01","2023-01-31","65 and over",1,0,0
2023,"2023-01-01","2023-01-31","65 and over",3,0,0
2023,"2023-01-01","2023-01-31","65 and over",3,0,0
2023,"2023-01-01","2023-01-31","65 and over",6,0,0
2023,"2023-01-01","2023-01-31","65 and over",7,0,0
2023,"2023-01-01","2023-01-31","65 and over",7,0,0
2023,"2023-01-01","2023-01-31","65 and over",19,0,0
2023,"2023-01-01","2023-01-31","65 and over",20,0,0
2023,"2023-01-01","2023-01-31","65 and over",31,0,0
2023,"2023-01-01","2023-01-31","65 and over",38,0,0
2023,"2023-02-01","2023-02-28","0-16",0,0,0
2023,"2023-02-01","2023-02-28","0-16",0,0,0
2023,"2023-02-01","2023-02-28","0-16",1,0,0
2023,"2023-02-01","2023-02-28","17-25",2,0,0
2023,"2023-02-01","2023-02-28","17-25",4,0,1
2023,"2023-02-01","2023-02-28","17-25",5,0,0
2023,"2023-02-01","2023-02-28","17-25",7,0,0
2023,"2023-02-01","2023-02-28","17-25",26,0,0
2023,"2023-02-01","2023-02-28","17-25",29,0,0
2023,"2023-02-01","2023-02-28","17-25",48,0,1
2023,"2023-02-01","2023-02-28","17-25",69,0,0
2023,"2023-02-01","2023-02-28","17-25",150,0,0
2023,"2023-02-01","2023-02-28","17-25",248,0,0
2023,"2023-02-01","2023-02-28","17-25",278,0,3
2023,"2023-02-01","2023-02-28","26-39",2,0,0
2023,"2023-02-01","2023-02-28","26-39",6,0,0
2023,"2023-02-01","2023-02-28","26-39",8,0,0
2023,"2023-02-01","2023-02-28","26-39",12,0,0
2023,"2023-02-01","2023-02-28","26-39",13,0,1
2023,"2023-02-01","2023-02-28","26-39",43,0,4
2023,"2023-02-01","2023-02-28","26-39",54,0,1
2023,"2023-02-01","2023-02-28","26-39",55,0,0
2023,"2023-02-01","2023-02-28","26-39",155,0,0
2023,"2023-02-01","2023-02-28","26-39",239,0,0
2023,"2023-02-01","2023-02-28","26-39",423,0,10
2023,"2023-02-01","2023-02-28","26-39",586,0,0
2023,"2023-02-01","2023-02-28","40-64",1,0,0
2023,"2023-02-01","2023-02-28","40-64",1,0,0
2023,"2023-02-01","2023-02-28","40-64",5,0,0
2023,"2023-02-01","2023-02-28","40-64",8,0,0
2023,"2023-02-01","2023-02-28","40-64",10,0,0
2023,"2023-02-01","2023-02-28","40-64",12,0,0
2023,"2023-02-01","2023-02-28","40-64",35,0,0
2023,"2023-02-01","2023-02-28","40-64",40,0,0
2023,"2023-02-01","2023-02-28","40-64",61,0,0
2023,"2023-02-01","2023-02-28","40-64",125,0,0
2023,"2023-02-01","2023-02-28","40-64",177,0,0
2023,"2023-02-01","2023-02-28","40-64",308,0,0
2023,"2023-02-01","2023-02-28","40-64",445,0,0
2023,"2023-02-01","2023-02-28","65 and over",1,0,0
2023,"2023-02-01","2023-02-28","65 and over",2,0,0
2023,"2023-02-01","2023-02-28","65 and over",4,0,0
2023,"2023-02-01","2023-02-28","65 and over",5,0,0
2023,"2023-02-01","2023-02-28","65 and over",7,0,0
2023,"2023-02-01","2023-02-28","65 and over",19,0,0
2023,"2023-02-01","2023-02-28","65 and over",24,0,0
2023,"2023-02-01","2023-02-28","65 and over",28,0,0
2023,"2023-02-01","2023-02-28","65 and over",59,0,0
2023,"2023-03-01","2023-03-31","0-16",0,0,0
2023,"2023-03-01","2023-03-31","0-16",1,0,0
2023,"2023-03-01","2023-03-31","17-25",4,0,0
2023,"2023-03-01","2023-03-31","17-25",6,0,1
2023,"2023-03-01","2023-03-31","17-25",11,0,0
2023,"2023-03-01","2023-03-31","17-25",12,0,0
2023,"2023-03-01","2023-03-31","17-25",37,0,0
2023,"2023-03-01","2023-03-31","17-25",44,0,1
2023,"2023-03-01","2023-03-31","17-25",55,0,0
2023,"2023-03-01","2023-03-31","17-25",76,0,0
2023,"2023-03-01","2023-03-31","17-25",153,0,0
2023,"2023-03-01","2023-03-31","17-25",283,0,3
2023,"2023-03-01","2023-03-31","17-25",309,0,0
2023,"2023-03-01","2023-03-31","26-39",2,0,0
2023,"2023-03-01","2023-03-31","26-39",6,0,0
2023,"2023-03-01","2023-03-31","26-39",13,0,0
2023,"2023-03-01","2023-03-31","26-39",14,0,0
2023,"2023-03-01","2023-03-31","26-39",29,0,0
2023,"2023-03-01","2023-03-31","26-39",44,0,2
2023,"2023-03-01","2023-03-31","26-39",67,0,0
2023,"2023-03-01","2023-03-31","26-39",74,0,0
2023,"2023-03-01","2023-03-31","26-39",184,0,0
2023,"2023-03-01","2023-03-31","26-39",228,0,0
2023,"2023-03-01","2023-03-31","26-39",405,0,5
2023,"2023-03-01","2023-03-31","26-39",646,0,0
2023,"2023-03-01","2023-03-31","40-64",1,0,0
2023,"2023-03-01","2023-03-31","40-64",5,0,0
2023,"2023-03-01","2023-03-31","40-64",11,0,0
2023,"2023-03-01","2023-03-31","40-64",15,0,0
2023,"2023-03-01","2023-03-31","40-64",34,0,0
2023,"2023-03-01","2023-03-31","40-64",51,0,0
2023,"2023-03-01","2023-03-31","40-64",53,0,0
2023,"2023-03-01","2023-03-31","40-64",166,0,0
2023,"2023-03-01","2023-03-31","40-64",198,0,0
2023,"2023-03-01","2023-03-31","40-64",303,0,4
2023,"2023-03-01","2023-03-31","40-64",536,0,0
2023,"2023-03-01","2023-03-31","65 and over",0,0,2
2023,"2023-03-01","2023-03-31","65 and over",2,0,0
2023,"2023-03-01","2023-03-31","65 and over",3,0,0
2023,"2023-03-01","2023-03-31","65 and over",5,0,0
2023,"2023-03-01","2023-03-31","65 and over",6,0,0
2023,"2023-03-01","2023-03-31","65 and over",9,0,0
2023,"2023-03-01","2023-03-31","65 and over",21,0,0
2023,"2023-03-01","2023-03-31","65 and over",23,0,0
2023,"2023-03-01","2023-03-31","65 and over",34,0,0
2023,"2023-03-01","2023-03-31","65 and over",59,0,0
2023,"2023-04-01","2023-04-30","0-16",0,0,0
2023,"2023-04-01","2023-04-30","0-16",1,0,0
2023,"2023-04-01","2023-04-30","0-16",2,0,0
2023,"2023-04-01","2023-04-30","17-25",1,0,0
2023,"2023-04-01","2023-04-30","17-25",2,0,0
2023,"2023-04-01","2023-04-30","17-25",4,0,0
2023,"2023-04-01","2023-04-30","17-25",5,0,0
2023,"2023-04-01","2023-04-30","17-25",7,0,0
2023,"2023-04-01","2023-04-30","17-25",21,0,0
2023,"2023-04-01","2023-04-30","17-25",32,0,2
2023,"2023-04-01","2023-04-30","17-25",39,0,0
2023,"2023-04-01","2023-04-30","17-25",63,0,0
2023,"2023-04-01","2023-04-30","17-25",122,0,0
2023,"2023-04-01","2023-04-30","17-25",232,0,0
2023,"2023-04-01","2023-04-30","17-25",348,0,2
