"YEAR","AGE_GROUP","FINES","ARRESTS","CHARGES"
2008,"All ages",671,0,0
2008,"All ages",2060,0,0
2008,"All ages",6780,0,0
2008,"All ages",11411,0,0
2008,"All ages",15957,0,0
2008,"All ages",28499,0,0
2008,"All ages",40882,0,0
2008,"All ages",49739,0,0
2009,"All ages",1106,0,0
2009,"All ages",1890,0,0
2009,"All ages",5665,0,0
2009,"All ages",14167,0,0
2009,"All ages",14804,0,0
2009,"All ages",33352,0,0
2009,"All ages",41167,0,0
2009,"All ages",53101,0,0
2010,"All ages",998,0,0
2010,"All ages",2407,0,0
2010,"All ages",3735,0,0
2010,"All ages",11705,0,0
2010,"All ages",14139,0,0
2010,"All ages",33013,0,0
2010,"All ages",51104,0,0
2010,"All ages",54728,0,0
2011,"All ages",729,0,0
2011,"All ages",2284,0,0
2011,"All ages",3241,0,0
2011,"All ages",10485,0,0
2011,"All ages",13402,0,0
2011,"All ages",30389,0,0
2011,"All ages",46714,0,0
2011,"All ages",52630,0,0
2012,"All ages",722,0,0
2012,"All ages",1722,0,0
2012,"All ages",2141,0,0
2012,"All ages",11623,0,0
2012,"All ages",17822,0,0
2012,"All ages",28548,0,0
2012,"All ages",42900,0,0
2012,"All ages",61497,0,0
2013,"All ages",1058,0,0
2013,"All ages",1356,0,0
2013,"All ages",2914,0,0
2013,"All ages",12560,0,0
2013,"All ages",14563,0,0
2013,"All ages",27998,0,0
2013,"All ages",33514,0,0
2013,"All ages",52452,0,0
2014,"All ages",517,0,0
2014,"All ages",1115,0,0
2014,"All ages",3256,0,0
2014,"All ages",11886,0,0
2014,"All ages",14377,0,0
2014,"All ages",25068,0,0
2014,"All ages",34952,0,0
2014,"All ages",41448,0,0
2015,"All ages",492,0,0
2015,"All ages",873,0,0
2015,"All ages",3273,0,0
2015,"All ages",12446,0,0
2015,"All ages",16666,0,0
2015,"All ages",23048,0,0
2015,"All ages",33598,0,0
2015,"All ages",37989,0,0
2016,"All ages",535,0,0
2016,"All ages",1120,0,0
2016,"All ages",3191,0,0
2016,"All ages",11153,0,0
2016,"All ages",14926,0,0
2016,"All ages",17213,0,0
2016,"All ages",27925,0,0
2016,"All ages",38918,0,0
2017,"All ages",546,0,0
2017,"All ages",1299,0,0
2017,"All ages",2738,0,0
2017,"All ages",11252,0,0
2017,"All ages",15043,0,0
2017,"All ages",16718,0,0
2017,"All ages",29293,0,0
2017,"All ages",41020,0,0
2018,"All ages",861,0,0
2018,"All ages",1399,0,0
2018,"All ages",2614,0,0
2018,"All ages",8471,0,0
2018,"All ages",12828,0,0
2018,"All ages",17697,0,0
2018,"All ages",32458,0,0
2018,"All ages",37653,0,0
2019,"All ages",760,0,0
2019,"All ages",1098,0,0
2019,"All ages",2355,0,0
2019,"All ages",7567,0,0
2019,"All ages",11580,0,0
2019,"All ages",11850,0,0
2019,"All ages",25463,0,0
2019,"All ages",36694,0,0
2020,"All ages",380,0,0
2020,"All ages",812,0,0
2020,"All ages",1966,0,0
2020,"All ages",4823,0,0
2020,"All ages",6325,0,0
2020,"All ages",7889,0,0
2020,"All ages",12878,0,0
2020,"All ages",21231,0,0
2020,"All ages",138847,0,0
2021,"All ages",309,0,0
2021,"All ages",544,0,0
2021,"All ages",2328,0,0
2021,"All ages",3973,0,0
2021,"All ages",4799,0,0
2021,"All ages",4909,0,0
2021,"All ages",10360,0,0
2021,"All ages",14574,0,0
2021,"All ages",15562,0,0
2021,"All ages",163722,0,0
2022,"All ages",302,0,0
2022,"All ages",374,0,0
2022,"All ages",1973,0,0
2022,"All ages",3487,0,0
2022,"All ages",4583,0,0
2022,"All ages",6346,0,0
2022,"All ages",12904,0,0
2022,"All ages",19428,0,0
2022,"All ages",118152,0,0
2022,"All ages",194793,0,0
