"YEAR","AGE_GROUP","FINES","ARRESTS","CHARGES"
2023,"0-16",0,0,0
2023,"0-16",0,0,0
2023,"0-16",0,0,1
2023,"0-16",0,0,2
2023,"0-16",0,0,3
2023,"0-16",0,0,4
2023,"0-16",0,0,5
2023,"0-16",0,0,6
2023,"0-16",0,0,7
2023,"0-16",0,0,8
2023,"0-16",0,0,9
2023,"0-16",0,0,10
2023,"0-16",0,0,11
2023,"0-16",0,0,12
2023,"0-16",0,0,15
2023,"0-16",0,0,0
2023,"0-16",0,1,0
2023,"0-16",0,1,1
2023,"0-16",0,2,0
2023,"0-16",0,2,1
2023,"0-16",0,2,3
2023,"0-16",0,3,1
2023,"0-16",0,4,3
2023,"0-16",0,4,7
2023,"0-16",0,5,9
2023,"0-16",0,8,6
2023,"0-16",0,9,1
2023,"0-16",0,9,3
2023,"0-16",0,9,4
2023,"0-16",0,9,8
2023,"0-16",0,10,8
2023,"0-16",1,0,0
2023,"0-16",1,0,0
2023,"0-16",1,0,1
2023,"0-16",1,0,2
2023,"0-16",1,0,3
2023,"0-16",1,0,4
2023,"0-16",1,0,5
2023,"0-16",1,0,7
2023,"0-16",1,0,8
2023,"0-16",1,0,10
2023,"0-16",1,0,18
2023,"0-16",1,0,20
2023,"0-16",1,0,21
2023,"0-16",1,0,30
2023,"0-16",1,0,31
2023,"0-16",1,0,70
2023,"0-16",1,0,0
2023,"0-16",1,0,1
2023,"0-16",1,1,1
2023,"0-16",1,1,2
2023,"0-16",1,4,3
2023,"0-16",1,5,4
2023,"0-16",1,12,8
2023,"0-16",2,0,0
2023,"0-16",2,0,0
2023,"0-16",2,0,1
2023,"0-16",2,0,2
2023,"0-16",2,0,3
2023,"0-16",2,0,7
2023,"0-16",2,0,9
2023,"0-16",2,0,10
2023,"0-16",2,0,16
2023,"0-16",2,0,20
2023,"0-16",2,0,34
2023,"0-16",2,0,43
2023,"0-16",2,0,0
2023,"0-16",2,1,2
2023,"0-16",2,3,0
2023,"0-16",3,0,0
2023,"0-16",3,0,0
2023,"0-16",3,0,1
2023,"0-16",3,0,4
2023,"0-16",3,0,15
2023,"0-16",3,0,17
2023,"0-16",3,0,0
2023,"0-16",3,0,1
2023,"0-16",4,0,0
2023,"0-16",4,0,0
2023,"0-16",4,0,1
2023,"0-16",4,0,17
2023,"0-16",4,0,40
2023,"0-16",4,0,0
2023,"0-16",5,0,0
2023,"0-16",5,0,0
2023,"0-16",5,0,1
2023,"0-16",5,0,2
2023,"0-16",5,0,4
2023,"0-16",5,0,5
2023,"0-16",5,0,22
2023,"0-16",5,0,41
2023,"0-16",6,0,0
2023,"0-16",6,0,19
2023,"0-16",7,0,0
2023,"0-16",7,0,0
2023,"0-16",8,0,11
2023,"0-16",13,0,0
2023,"17-25",0,0,1
2023,"17-25",0,0,2
2023,"17-25",0,0,3
2023,"17-25",0,0,4
2023,"17-25",0,0,5
2023,"17-25",0,0,6
2023,"17-25",0,0,13
2023,"17-25",0,0,30
2023,"17-25",0,0,0
2023,"17-25",1,0,0
2023,"17-25",1,0,0
2023,"17-25",1,0,2
2023,"17-25",1,0,4
2023,"17-25",1,0,5
2023,"17-25",1,0,7
