"YEAR","DETECTION_METHOD","FINES","ARRESTS","CHARGES"
2008,"Police issued",671,0,0
2008,"Police issued",2060,0,0
2008,"Police issued",6780,0,0
2008,"Police issued",11411,0,0
2008,"Police issued",15957,0,0
2008,"Police issued",28499,0,0
2008,"Police issued",40882,0,0
2008,"Police issued",49739,0,0
2009,"Police issued",1106,0,0
2009,"Police issued",1890,0,0
2009,"Police issued",5665,0,0
2009,"Police issued",14167,0,0
2009,"Police issued",14804,0,0
2009,"Police issued",33352,0,0
2009,"Police issued",41167,0,0
2009,"Police issued",53101,0,0
2010,"Police issued",998,0,0
2010,"Police issued",2407,0,0
2010,"Police issued",3735,0,0
2010,"Police issued",11705,0,0
2010,"Police issued",14139,0,0
2010,"Police issued",33013,0,0
2010,"Police issued",51104,0,0
2010,"Police issued",54728,0,0
2011,"Police issued",729,0,0
2011,"Police issued",2284,0,0
2011,"Police issued",3241,0,0
2011,"Police issued",10485,0,0
2011,"Police issued",13402,0,0
2011,"Police issued",30389,0,0
2011,"Police issued",46714,0,0
2011,"Police issued",52630,0,0
2012,"Police issued",722,0,0
2012,"Police issued",1722,0,0
2012,"Police issued",2141,0,0
2012,"Police issued",11623,0,0
2012,"Police issued",17822,0,0
2012,"Police issued",28548,0,0
2012,"Police issued",42900,0,0
2012,"Police issued",61497,0,0
2013,"Police issued",1058,0,0
2013,"Police issued",1356,0,0
2013,"Police issued",2914,0,0
2013,"Police issued",12560,0,0
2013,"Police issued",14563,0,0
2013,"Police issued",27998,0,0
2013,"Police issued",33514,0,0
2013,"Police issued",52452,0,0
2014,"Police issued",517,0,0
2014,"Police issued",1115,0,0
2014,"Police issued",3256,0,0
2014,"Police issued",11886,0,0
2014,"Police issued",14377,0,0
2014,"Police issued",25068,0,0
2014,"Police issued",34952,0,0
2014,"Police issued",41448,0,0
2015,"Police issued",492,0,0
2015,"Police issued",873,0,0
2015,"Police issued",3273,0,0
2015,"Police issued",12446,0,0
2015,"Police issued",16666,0,0
2015,"Police issued",23048,0,0
2015,"Police issued",33598,0,0
2015,"Police issued",37989,0,0
2016,"Police issued",535,0,0
2016,"Police issued",1120,0,0
2016,"Police issued",3191,0,0
2016,"Police issued",11153,0,0
2016,"Police issued",14926,0,0
2016,"Police issued",17213,0,0
2016,"Police issued",27925,0,0
2016,"Police issued",38918,0,0
2017,"Police issued",546,0,0
2017,"Police issued",1299,0,0
2017,"Police issued",2738,0,0
2017,"Police issued",11252,0,0
2017,"Police issued",15043,0,0
2017,"Police issued",16718,0,0
2017,"Police issued",29293,0,0
2017,"Police issued",41020,0,0
2018,"Police issued",861,0,0
2018,"Police issued",1399,0,0
2018,"Police issued",2614,0,0
2018,"Police issued",8471,0,0
2018,"Police issued",12828,0,0
2018,"Police issued",17697,0,0
2018,"Police issued",32458,0,0
2018,"Police issued",37653,0,0
2019,"Police issued",760,0,0
2019,"Police issued",1098,0,0
2019,"Police issued",2355,0,0
2019,"Police issued",7567,0,0
2019,"Police issued",11580,0,0
2019,"Police issued",11850,0,0
2019,"Police issued",25463,0,0
2019,"Police issued",36694,0,0
2020,"Fixed or mobile camera",138847,0,0
2020,"Police issued",380,0,0
2020,"Police issued",812,0,0
2020,"Police issued",1966,0,0
2020,"Police issued",4823,0,0
2020,"Police issued",6325,0,0
2020,"Police issued",7889,0,0
2020,"Police issued",12878,0,0
2020,"Police issued",21231,0,0
2021,"Fixed or mobile camera",14574,0,0
2021,"Fixed or mobile camera",163722,0,0
2021,"Police issued",309,0,0
2021,"Police issued",544,0,0
2021,"Police issued",2328,0,0
2021,"Police issued",3973,0,0
2021,"Police issued",4799,0,0
2021,"Police issued",4909,0,0
2021,"Police issued",10360,0,0
2021,"Police issued",15562,0,0
2022,"Fixed or mobile camera",118152,0,0
2022,"Fixed or mobile camera",194793,0,0
2022,"Police issued",302,0,0
2022,"Police issued",374,0,0
2022,"Police issued",1973,0,0
2022,"Police issued",3487,0,0
2022,"Police issued",4583,0,0
