"YEAR","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES"
2008,"mobile_phone_use","Police issued",671,0,0
2008,"mobile_phone_use","Police issued",2060,0,0
2008,"mobile_phone_use","Police issued",6780,0,0
2008,"mobile_phone_use","Police issued",11411,0,0
2008,"mobile_phone_use","Police issued",15957,0,0
2008,"mobile_phone_use","Police issued",28499,0,0
2008,"mobile_phone_use","Police issued",40882,0,0
2008,"mobile_phone_use","Police issued",49739,0,0
2008,"speed_fines","Fixed or mobile camera",23865,0,0
2008,"speed_fines","Fixed or mobile camera",59962,0,0
2008,"speed_fines","Fixed or mobile camera",119500,0,0
2008,"speed_fines","Fixed or mobile camera",228822,0,0
2008,"speed_fines","Fixed or mobile camera",502886,0,0
2008,"speed_fines","Fixed or mobile camera",590408,0,0
2008,"speed_fines","Fixed or mobile camera",1114036,0,0
2009,"mobile_phone_use","Police issued",1106,0,0
2009,"mobile_phone_use","Police issued",1890,0,0
2009,"mobile_phone_use","Police issued",5665,0,0
2009,"mobile_phone_use","Police issued",14167,0,0
2009,"mobile_phone_use","Police issued",14804,0,0
2009,"mobile_phone_use","Police issued",33352,0,0
2009,"mobile_phone_use","Police issued",41167,0,0
2009,"mobile_phone_use","Police issued",53101,0,0
2009,"speed_fines","Fixed or mobile camera",19893,0,0
2009,"speed_fines","Fixed or mobile camera",67768,0,0
2009,"speed_fines","Fixed or mobile camera",107676,0,0
2009,"speed_fines","Fixed or mobile camera",254858,0,0
2009,"speed_fines","Fixed or mobile camera",475870,0,0
2009,"speed_fines","Fixed or mobile camera",513616,0,0
2009,"speed_fines","Fixed or mobile camera",1136590,0,0
2010,"mobile_phone_use","Police issued",998,0,0
2010,"mobile_phone_use","Police issued",2407,0,0
2010,"mobile_phone_use","Police issued",3735,0,0
2010,"mobile_phone_use","Police issued",11705,0,0
2010,"mobile_phone_use","Police issued",14139,0,0
2010,"mobile_phone_use","Police issued",33013,0,0
2010,"mobile_phone_use","Police issued",51104,0,0
2010,"mobile_phone_use","Police issued",54728,0,0
2010,"speed_fines","Fixed or mobile camera",26775,0,0
2010,"speed_fines","Fixed or mobile camera",37376,0,0
