"JURISDICTION","LOCATION","FINES","ARRESTS"
"ACT","All regions",41,0
"ACT","All regions",60,0
"ACT","All regions",143,0
"ACT","All regions",174,0
"ACT","All regions",197,0
"ACT","All regions",374,0
"ACT","All regions",544,0
"ACT","All regions",812,0
"ACT","All regions",873,0
"ACT","All regions",1098,0
"ACT","All regions",1115,0
"ACT","All regions",1120,0
"ACT","All regions",1299,0
"ACT","All regions",1356,0
"ACT","All regions",1399,0
"ACT","All regions",1722,0
"ACT","All regions",1890,0
"ACT","All regions",2060,0
"ACT","All regions",2284,0
"ACT","All regions",2407,0
"ACT","All regions",45120,0
"ACT","All regions",50640,0
"ACT","All regions",51948,0
"ACT","All regions",52913,0
"ACT","All regions",54201,0
"ACT","All regions",55750,0
"ACT","All regions",56719,0
"ACT","All regions",57612,0
"ACT","All regions",58705,0
"ACT","All regions",59330,0
"ACT","All regions",66449,0
"ACT","All regions",113807,0
"ACT","Major Cities of Australia",0,0
"ACT","Major Cities of Australia",0,1
"ACT","Major Cities of Australia",0,2
"ACT","Major Cities of Australia",0,5
"ACT","Major Cities of Australia",1,0
"ACT","Major Cities of Australia",1,0
"ACT","Major Cities of Australia",1,1
"ACT","Major Cities of Australia",1,3
"ACT","Major Cities of Australia",2,0
"ACT","Major Cities of Australia",2,0
"ACT","Major Cities of Australia",2,1
"ACT","Major Cities of Australia",2,3
"ACT","Major Cities of Australia",2,4
"ACT","Major Cities of Australia",3,0
"ACT","Major Cities of Australia",3,0
"ACT","Major Cities of Australia",3,3
"ACT","Major Cities of Australia",3,5
"ACT","Major Cities of Australia",4,0
"ACT","Major Cities of Australia",4,0
"ACT","Major Cities of Australia",4,1
"ACT","Major Cities of Australia",4,2
"ACT","Major Cities of Australia",4,6
"ACT","Major Cities of Australia",5,0
"ACT","Major Cities of Australia",5,3
"ACT","Major Cities of Australia",5,6
"ACT","Major Cities of Australia",5,12
"ACT","Major Cities of Australia",6,0
"ACT","Major Cities of Australia",6,1
"ACT","Major Cities of Australia",6,3
"ACT","Major Cities of Australia",6,4
"ACT","Major Cities of Australia",6,7
"ACT","Major Cities of Australia",7,0
"ACT","Major Cities of Australia",7,1
"ACT","Major Cities of Australia",7,3
"ACT","Major Cities of Australia",7,6
"ACT","Major Cities of Australia",7,10
"ACT","Major Cities of Australia",7,14
"ACT","Major Cities of Australia",8,0
"ACT","Major Cities of Australia",8,3
"ACT","Major Cities of Australia",8,8
"ACT","Major Cities of Australia",8,9
"ACT","Major Cities of Australia",8,11
"ACT","Major Cities of Australia",8,13
"ACT","Major Cities of Australia",9,0
"ACT","Major Cities of Australia",9,10
"ACT","Major Cities of Australia",10,0
"ACT","Major Cities of Australia",11,0
"ACT","Major Cities of Australia",11,3
"ACT","Major Cities of Australia",11,12
"ACT","Major Cities of Australia",12,0
"ACT","Major Cities of Australia",12,3
"ACT","Major Cities of Australia",12,4
"ACT","Major Cities of Australia",12,8
"ACT","Major Cities of Australia",13,0
"ACT","Major Cities of Australia",14,0
"ACT","Major Cities of Australia",14,1
"ACT","Major Cities of Australia",15,0
"ACT","Major Cities of Australia",15,16
"ACT","Major Cities of Australia",20,0
"ACT","Major Cities of Australia",21,0
"ACT","Major Cities of Australia",23,0
"ACT","Major Cities of Australia",24,0
"ACT","Major Cities of Australia",27,0
"ACT","Major Cities of Australia",29,0
"ACT","Major Cities of Australia",30,0
"ACT","Major Cities of Australia",31,0
"ACT","Major Cities of Australia",33,0
"ACT","Major Cities of Australia",38,0
"ACT","Major Cities of Australia",40,0
"ACT","Major Cities of Australia",42,0
"ACT","Major Cities of Australia",44,0
"ACT","Major Cities of Australia",46,0
"ACT","Major Cities of Australia",47,0
"ACT","Major Cities of Australia",52,0
"ACT","Major Cities of Australia",55,0
"ACT","Major Cities of Australia",57,0
"ACT","Major Cities of Australia",59,0
"ACT","Major Cities of Australia",60,0
"ACT","Major Cities of Australia",61,0
"ACT","Major Cities of Australia",62,0
"ACT","Major Cities of Australia",63,0
"ACT","Major Cities of Australia",64,0
"ACT","Major Cities of Australia",66,0
"ACT","Major Cities of Australia",68,0
"ACT","Major Cities of Australia",69,0
"ACT","Major Cities of Australia",70,0
"ACT","Major Cities of Australia",71,0
"ACT","Major Cities of Australia",72,0
"ACT","Major Cities of Australia",75,0
"ACT","Major Cities of Australia",81,0
"ACT","Major Cities of Australia",82,0
"ACT","Major Cities of Australia",83,0
"ACT","Major Cities of Australia",86,0
"ACT","Major Cities of Australia",90,0
"ACT","Major Cities of Australia",91,0
"ACT","Major Cities of Australia",92,0
"ACT","Major Cities of Australia",98,0
"ACT","Major Cities of Australia",99,0
"ACT","Major Cities of Australia",107,0
"ACT","Major Cities of Australia",126,0
"ACT","Major Cities of Australia",143,0
"ACT","Major Cities of Australia",148,0
"ACT","Major Cities of Australia",155,0
"ACT","Major Cities of Australia",157,0
"ACT","Major Cities of Australia",175,0
"ACT","Major Cities of Australia",176,0
"ACT","Major Cities of Australia",177,0
"ACT","Major Cities of Australia",178,0
"ACT","Major Cities of Australia",194,0
"ACT","Major Cities of Australia",195,0
"ACT","Major Cities of Australia",203,0
"ACT","Major Cities of Australia",204,0
"ACT","Major Cities of Australia",205,0
"ACT","Major Cities of Australia",207,0
"ACT","Major Cities of Australia",214,0
"ACT","Major Cities of Australia",220,0
"ACT","Major Cities of Australia",222,0
"ACT","Major Cities of Australia",223,0
"ACT","Major Cities of Australia",224,0
"ACT","Major Cities of Australia",237,0
"ACT","Major Cities of Australia",242,0
"ACT","Major Cities of Australia",243,0
"ACT","Major Cities of Australia",244,0
"ACT","Major Cities of Australia",257,0
"ACT","Major Cities of Australia",295,0
"ACT","Major Cities of Australia",313,0
"ACT","Major Cities of Australia",352,0
"ACT","Major Cities of Australia",404,0
"ACT","Major Cities of Australia",407,0
"ACT","Major Cities of Australia",426,0
"ACT","Major Cities of Australia",431,0
"ACT","Major Cities of Australia",444,0
"ACT","Major Cities of Australia",452,0
"ACT","Major Cities of Australia",462,0
"ACT","Major Cities of Australia",463,0
"ACT","Major Cities of Australia",468,0
"ACT","Major Cities of Australia",473,0
"ACT","Major Cities of Australia",476,0
"ACT","Major Cities of Australia",480,0
"ACT","Major Cities of Australia",491,0
"ACT","Major Cities of Australia",504,0
"ACT","Major Cities of Australia",507,0
"ACT","Major Cities of Australia",508,0
"ACT","Major Cities of Australia",510,0
"ACT","Major Cities of Australia",515,0
"ACT","Major Cities of Australia",524,0
"ACT","Major Cities of Australia",527,0
"ACT","Major Cities of Australia",532,0
"ACT","Major Cities of Australia",538,0
"ACT","Major Cities of Australia",545,0
"ACT","Major Cities of Australia",558,0
"ACT","Major Cities of Australia",559,0
"ACT","Major Cities of Australia",570,0
"ACT","Major Cities of Australia",582,0
"ACT","Major Cities of Australia",590,0
"ACT","Major Cities of Australia",608,0
"ACT","Major Cities of Australia",615,0
"ACT","Major Cities of Australia",618,0
"ACT","Major Cities of Australia",631,0
"ACT","Major Cities of Australia",679,0
"ACT","Major Cities of Australia",697,0
"ACT","Major Cities of Australia",700,0
"ACT","Major Cities of Australia",704,0
"ACT","Major Cities of Australia",725,0
"ACT","Major Cities of Australia",735,0
"ACT","Major Cities of Australia",770,0
"ACT","Major Cities of Australia",836,0
"ACT","Major Cities of Australia",893,0
"ACT","Major Cities of Australia",1001,0
"ACT","Major Cities of Australia",1005,0
"ACT","Major Cities of Australia",1090,0
"ACT","Major Cities of Australia",1102,0
"ACT","Major Cities of Australia",1108,0
"ACT","Major Cities of Australia",1149,0
"ACT","Major Cities of Australia",1172,0
"ACT","Major Cities of Australia",1196,0
"ACT","Major Cities of Australia",1202,0
"ACT","Major Cities of Australia",1317,0
"ACT","Major Cities of Australia",1520,0
"ACT","Major Cities of Australia",1550,0
"ACT","Major Cities of Australia",1682,0
"ACT","Major Cities of Australia",1796,0
"ACT","Major Cities of Australia",1805,0
"ACT","Major Cities of Australia",1809,0
"ACT","Major Cities of Australia",1863,0
"ACT","Major Cities of Australia",2074,0
"ACT","Major Cities of Australia",2112,0
"ACT","Major Cities of Australia",2115,0
"ACT","Major Cities of Australia",2126,0
"ACT","Major Cities of Australia",2313,0
"ACT","Major Cities of Australia",2722,0
"NSW","All regions",2,0
"NSW","All regions",5,0
"NSW","All regions",7,0
"NSW","All regions",15,0
"NSW","All regions",28,0
"NSW","All regions",9597,0
"NSW","All regions",9720,0
"NSW","All regions",10360,0
"NSW","All regions",11715,0
"NSW","All regions",12878,0
"NSW","All regions",12904,0
"NSW","All regions",19348,0
"NSW","All regions",21538,0
"NSW","All regions",22926,0
"NSW","All regions",25463,0
"NSW","All regions",33514,0
"NSW","All regions",34952,0
"NSW","All regions",37653,0
"NSW","All regions",37989,0
"NSW","All regions",38918,0
"NSW","All regions",40882,0
"NSW","All regions",41020,0
"NSW","All regions",41167,0
"NSW","All regions",42900,0
"NSW","All regions",46714,0
"NSW","All regions",51104,0
"NSW","All regions",138847,0
"NSW","All regions",163722,0
"NSW","All regions",164275,0
"NSW","All regions",179465,0
"NSW","All regions",194793,0
"NSW","All regions",207863,0
"NSW","All regions",216237,0
"NSW","All regions",237017,0
